<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.26	10:00:00	1.20532	1.20600	1.20477	1.20538	294	0	61
2022.12.26	11:00:00	1.20536	1.20587	1.20477	1.20568	203	0	61
2022.12.26	12:00:00	1.20567	1.20768	1.20496	1.20627	351	0	61
2022.12.26	13:00:00	1.20760	1.20763	1.20596	1.20711	197	0	61
2022.12.26	14:00:00	1.20711	1.20784	1.20692	1.20724	277	0	49
2022.12.26	15:00:00	1.20724	1.20733	1.20694	1.20722	458	0	27
2022.12.26	16:00:00	1.20721	1.20736	1.20700	1.20710	493	0	27
2022.12.26	17:00:00	1.20704	1.20727	1.20597	1.20618	247	0	31
2022.12.26	18:00:00	1.20617	1.20617	1.20543	1.20543	23	0	66
2022.12.26	19:00:00	1.20543	1.20553	1.20468	1.20553	68	0	180
2022.12.26	20:00:00	1.20543	1.20610	1.20475	1.20498	92	0	102
2022.12.26	21:00:00	1.20497	1.20659	1.20485	1.20550	251	0	70
2022.12.26	22:00:00	1.20550	1.20626	1.20544	1.20575	34	0	96
2022.12.26	23:00:00	1.20617	1.20685	1.20557	1.20615	418	0	14
2022.12.27	00:00:00	1.20615	1.20647	1.20452	1.20634	229	0	17
2022.12.27	01:00:00	1.20602	1.20918	1.20585	1.20822	1509	0	9
2022.12.27	02:00:00	1.20811	1.20884	1.20720	1.20781	2535	0	8
2022.12.27	03:00:00	1.20788	1.20999	1.20770	1.20981	2910	0	8
2022.12.27	04:00:00	1.20982	1.21025	1.20883	1.20949	2748	0	8
2022.12.27	05:00:00	1.20950	1.20957	1.20788	1.20820	2277	0	8
2022.12.27	06:00:00	1.20820	1.20878	1.20799	1.20872	1620	0	8
2022.12.27	07:00:00	1.20873	1.20989	1.20867	1.20949	2407	0	1
2022.12.27	08:00:00	1.20949	1.21120	1.20827	1.21100	2570	0	1
2022.12.27	09:00:00	1.21097	1.21123	1.20903	1.20917	3947	0	1
2022.12.27	10:00:00	1.20917	1.20917	1.20518	1.20709	4145	0	1
2022.12.27	11:00:00	1.20711	1.20760	1.20545	1.20619	3150	0	1
2022.12.27	12:00:00	1.20617	1.20736	1.20474	1.20615	3651	0	3
2022.12.27	13:00:00	1.20617	1.20635	1.20307	1.20373	3034	0	4
2022.12.27	14:00:00	1.20372	1.20459	1.20251	1.20283	3527	0	4
2022.12.27	15:00:00	1.20287	1.20340	1.20205	1.20238	5156	0	5
2022.12.27	16:00:00	1.20234	1.20280	1.20023	1.20207	5382	0	1
2022.12.27	17:00:00	1.20205	1.20477	1.20137	1.20205	6165	0	1
2022.12.27	18:00:00	1.20206	1.20319	1.20144	1.20299	4451	0	3
2022.12.27	19:00:00	1.20299	1.20317	1.20082	1.20136	3211	0	1
2022.12.27	20:00:00	1.20136	1.20332	1.20113	1.20306	2453	0	4
2022.12.27	21:00:00	1.20305	1.20363	1.20199	1.20301	2508	0	6
2022.12.27	22:00:00	1.20302	1.20322	1.20222	1.20273	2210	0	4
2022.12.27	23:00:00	1.20273	1.20334	1.20251	1.20319	984	0	6
2022.12.28	00:00:00	1.20264	1.20284	1.20108	1.20259	314	0	17
2022.12.28	01:00:00	1.20271	1.20303	1.20246	1.20254	506	0	9
2022.12.28	02:00:00	1.20260	1.20305	1.20077	1.20201	1779	0	8
2022.12.28	03:00:00	1.20201	1.20311	1.20162	1.20268	3662	0	8
2022.12.28	04:00:00	1.20270	1.20270	1.20101	1.20104	2124	0	8
2022.12.28	05:00:00	1.20104	1.20160	1.20022	1.20054	2131	0	8
2022.12.28	06:00:00	1.20054	1.20245	1.20048	1.20244	1957	0	8
2022.12.28	07:00:00	1.20247	1.20293	1.20215	1.20256	2158	0	1
2022.12.28	08:00:00	1.20254	1.20396	1.20234	1.20325	2114	0	1
2022.12.28	09:00:00	1.20318	1.20543	1.20255	1.20447	3590	0	1
2022.12.28	10:00:00	1.20450	1.20538	1.20197	1.20211	4406	0	1
2022.12.28	11:00:00	1.20211	1.20338	1.20175	1.20293	3669	0	3
2022.12.28	12:00:00	1.20293	1.20624	1.20264	1.20615	3765	0	1
2022.12.28	13:00:00	1.20615	1.20903	1.20594	1.20767	3561	0	1
2022.12.28	14:00:00	1.20769	1.20962	1.20754	1.20877	4533	0	1
2022.12.28	15:00:00	1.20879	1.21003	1.20734	1.20839	4492	0	1
